activity_id,label,level,parent_id,isic,alias_annual,alias_quarterly,alias_extra
gdp_market_prices,GDP at market prices,total,,,GDP at market prices,GDP AT MARKET PRICES,GDP at purchaser prices
agriculture,"Agriculture, Forestry & Fishing",sector,gdp_market_prices,A,"Agriculture, forestry and fishing","AGRICULTURE,FORESTRY&FISHING",
cash_crops,Cash crops,activity,agriculture,AA,Cash crops,Cash crops,
food_crops,Food crops,activity,agriculture,AB,Food crops,Food crops,
livestock,Livestock,activity,agriculture,AC,Livestock,Livestock,
agriculture_support,Agriculture Support Services,activity,agriculture,AD,Agriculture Support Services,Agriculture Support Services,
forestry,Forestry,activity,agriculture,AF,Forestry,Forestry,
fishing,Fishing,activity,agriculture,AG,Fishing,Fishing,
industry,Industry,sector,gdp_market_prices,,Industry,INDUSTRY,
mining_quarrying,Mining & quarrying,activity,industry,B,Mining & quarrying,Mining & quarrying,
manufacturing,Manufacturing,activity,industry,C,Manufacturing,Manufacturing,
electricity,Electricity,activity,industry,D,Electricity,Electricity,
water,Water,activity,industry,E,Water,Water,
construction,Construction,activity,industry,F,Construction,Construction,Construction SA;Construction Trend
services,Services,sector,gdp_market_prices,,Services,SERVICES,
trade_repairs,Trade & Repairs,activity,services,G,Trade and Repairs,Trade & Repairs,
transportation_storage,Transportation & Storage,activity,services,H,Transportation and Storage,Transportation & Storage,
accommodation_food,Accommodation & Food Service Activities,activity,services,I,Accommodation and Food Service Activities,Accommodation & Food Service,
information_communication,Information & Communication,activity,services,J,Information and Communication,Information & Communication,
financial_insurance,Financial & Insurance Activities,activity,services,K,Financial and Insurance Activities,Financial & Insurance,Financial and Insurance
real_estate,Real Estate Activities,activity,services,L,Real Estate Activities,Real Estate Activities,
professional_technical,"Professional, Scientific & Technical Activities",activity,services,M,"Professional, Scientific and Technical Activities","Professional, Scientific & Technical",
administrative_support,Administrative & Support Service Activities,activity,services,N,Administrative and Support Service Activities,Administrative & Support Service,
public_administration,Public Administration,activity,services,O,Public Administration,Public Administration,
education,Education,activity,services,P,Education,Education,
health_social_work,Human Health & Social Work Activities,activity,services,Q,Human Health and Social Work Activities,Human Health & Social Work,
arts_entertainment,"Arts, Entertainment & Recreation",activity,services,R,"Arts, Entertainment and Recreation","Arts, Entertainment & Recreation",
other_services,Other Service Activities,activity,services,S,Other Service Activities,Other Service Activities,
households_employers,Activities of Households as Employers,activity,services,T,Activities of Households as Employers,Activities of Households,
taxes_on_products,Taxes on products,adjustment,gdp_market_prices,,Taxes on products,Taxes on products,
